0;1;81
0;2;87
0;3;47
0;4;59
0;5;81
0;6;18
0;7;25
0;8;40
0;9;56
0;10;0
0;11;94
0;12;11
0;13;62
0;14;89
0;15;28
0;16;74
0;17;11
0;18;45
0;19;37
0;20;6
0;21;95
0;22;66
0;23;28
0;24;58
0;25;47
0;26;47
0;27;87
0;28;88
0;29;90
0;30;15
0;31;41
0;32;8
0;33;87
0;34;31
0;35;29
0;36;56
0;37;37
0;38;31
0;39;85
0;40;26
0;41;13
0;42;90
0;43;94
0;45;63
0;46;33
0;47;47
0;48;78
0;49;24
0;50;59
0;51;53
0;52;57
0;53;21
0;54;89
0;55;99
0;56;0
0;57;5
0;58;88
0;59;38
0;60;3
0;61;55
0;62;51
0;63;10
0;65;5
0;66;56
0;67;66
0;68;28
0;69;61
0;70;2
0;71;83
0;72;46
0;73;63
0;74;76
0;75;2
0;76;18
0;77;47
0;78;94
0;79;77
0;80;63
0;81;96
0;82;20
0;83;23
0;84;53
0;85;37
0;86;33
0;87;41
0;88;59
0;89;33
0;90;43
0;91;91
0;92;2
0;93;78
0;94;36
0;95;46
0;96;7
0;97;40
0;98;3
0;99;52
1;0;43
1;3;5
1;4;98
1;5;25
1;7;51
1;9;15
1;23;57
1;26;87
1;29;10
1;30;10
1;35;85
1;38;90
1;40;32
1;42;98
1;46;53
1;56;91
1;74;82
1;91;84
1;93;97
1;97;67
2;0;37
2;10;71
2;12;94
2;13;26
2;20;2
2;29;81
2;30;79
2;32;66
2;33;70
2;34;93
2;40;86
2;45;19
2;47;81
2;50;52
2;55;75
2;63;85
2;79;10
2;84;87
3;0;49
3;1;28
3;4;18
3;6;84
3;7;3
3;9;24
3;11;47
3;20;12
3;26;32
3;27;16
3;30;39
3;36;40
3;38;86
3;42;51
3;46;76
3;49;40
3;54;51
4;0;44
4;1;64
4;3;5
4;5;83
4;7;1
4;9;90
4;11;2
4;23;58
4;26;67
4;30;31
4;38;78
4;42;54
4;46;22
4;74;23
4;91;42
4;93;8
5;0;43
5;1;68
5;4;66
5;7;10
5;9;35
5;11;40
5;23;4
5;26;62
5;29;57
5;30;15
5;38;71
5;40;39
5;42;30
5;56;13
5;74;0
5;91;59
5;93;20
5;97;83
6;0;70
6;3;84
6;40;47
6;44;10
6;47;65
7;0;62
7;1;29
7;3;20
7;4;48
7;5;56
7;9;95
7;11;66
7;16;0
7;23;56
7;26;29
7;29;92
7;30;31
7;35;77
7;36;86
7;38;20
