0;1;81
0;2;87
0;3;47
0;4;59
0;5;81
0;6;18
0;7;25
0;8;40
0;9;56
0;10;0
0;11;94
0;12;11
0;13;62
0;14;89
0;15;28
0;16;74
0;17;11
0;18;45
0;19;37
0;20;6
0;21;95
0;22;66
0;23;28
0;24;58
0;25;47
0;26;47
0;27;87
0;28;88
0;29;90
0;30;15
0;31;41
0;32;8
0;33;87
0;34;31
0;35;29
0;36;56
0;37;37
0;38;31
0;39;85
0;40;26
0;41;13
0;42;90
0;43;94
0;45;63
0;46;33
0;47;47
0;48;78
0;49;24
0;50;59
1;0;53
1;3;57
1;4;21
1;5;89
1;7;99
1;9;0
1;23;5
1;26;88
1;29;38
1;30;3
1;35;55
1;38;51
1;40;10
1;42;5
1;46;56
2;0;66
2;10;28
2;12;61
2;13;2
2;20;83
2;29;46
2;30;63
2;32;76
2;33;2
2;34;18
2;40;47
2;45;94
2;47;77
2;50;63
3;0;96
3;1;20
3;4;23
3;6;53
3;7;37
3;9;33
3;11;41
3;20;59
3;26;33
3;27;43
3;30;91
3;36;2
3;38;78
3;42;36
3;46;46
3;49;7
4;0;40
4;1;3
4;3;52
4;5;43
4;7;5
4;9;98
4;11;25
4;23;51
4;26;15
4;30;57
4;38;87
4;42;10
4;46;10
5;0;85
5;1;90
5;4;32
5;7;98
5;9;53
5;11;91
5;23;82
5;26;84
5;29;97
5;30;67
5;38;37
5;40;71
5;42;94
6;0;26
6;3;2
6;40;81
6;44;79
6;47;66
7;0;70
7;1;93
7;3;86
7;4;19
7;5;81
7;9;52
7;11;75
7;16;85
7;23;10
7;26;87
7;29;49
7;30;28
7;35;18
7;36;84
7;38;3
7;40;24
7;42;47
8;0;12
8;32;32
9;0;16
9;1;39
9;3;40
9;4;86
9;5;51
9;7;76
9;11;40
9;23;51
9;26;44
9;30;64
9;38;5
9;40;83
9;42;1
9;46;90
10;0;2
10;2;58
10;28;67
10;30;31
10;33;78
11;0;54
11;3;22
11;4;23
11;5;42
11;7;8
11;9;43
11;23;68
11;26;66
11;29;10
11;30;35
11;35;40
11;38;4
11;40;62
11;42;57
11;46;15
12;0;71
12;2;39
12;13;30
12;14;13
12;30;0
12;31;59
12;35;20
12;40;83
12;41;70
12;43;84
12;45;47
12;49;10
13;0;65
13;2;62
13;12;29
13;17;20
13;19;48
13;27;56
13;29;95
13;30;66
13;34;0
13;35;56
13;37;29
13;45;92
13;47;31
13;49;77
14;0;86
14;12;20
